"구분별(1)",구분별(2),2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%),게임 (%),소셜네트워킹(카카오스토리 페이스북 트위터 등) (%),인스턴트메신저(카카오톡 라인 페이스북 등의 SNS 자체 메신저 등) (%),방송/동영상(OTT 서비스 등) (%),포털애플리케이션(네이버 다음 네이트 등) (%)
"전체",소계,24.0,20.2,62.0,12.5,45.4,21.3,18.4,61.6,17.1,44.4,21.7,16.2,70.4,17.0,51.2,20.4,13.9,69.4,26.1,47.8,20.4,10.3,64.0,34.0,45.4
"성별",남,31.5,18.1,57.8,12.9,45.0,27.7,15.8,55.6,18.7,45.3,30.6,14.2,67.3,17.7,51.6,28.6,12.2,64.9,29.1,48.5,29.0,8.9,58.4,36.4,47.3
"성별",여,16.1,22.4,66.4,12.1,45.8,14.7,21.1,67.9,15.3,43.4,12.2,18.4,73.7,16.2,50.9,11.8,15.6,74.1,22.9,47.1,11.4,11.8,69.8,31.5,43.4
"연령",만10대미만,52.2,13.4,46.6,39.8,12.3,59.4,5.1,35.4,53.3,20.7,65.0,5.2,48.8,54.7,22.4,68.2,0.3,39.9,42.3,14.8,66.9,0.0,32.1,35.8,20.7
"연령",만10-19세,51.3,29.1,63.5,24.4,31.7,49.3,24.1,60.0,35.7,28.5,50.7,21.2,63.8,32.2,33.6,55.1,14.9,58.3,37.1,26.3,58.5,13.3,53.9,42.8,20.4
"연령",만20-29세,29.5,34.3,63.4,15.8,45.1,26.0,31.1,62.8,22.1,45.7,26.0,31.8,69.8,20.3,49.1,27.7,26.5,68.9,39.5,41.3,27.4,19.7,63.8,45.5,40.9
"연령",만30-39세,23.9,22.6,66.8,10.5,51.4,18.6,21.4,63.4,16.4,48.7,22.3,18.0,66.5,14.4,48.4,16.8,20.4,71.2,27.1,55.9,20.1,16.6,62.3,33.6,50.1
"연령",만40-49세,20.8,15.2,61.8,10.2,51.0,18.1,16.9,62.7,10.4,50.9,16.3,13.3,72.2,13.1,59.1,14.9,12.2,70.7,19.9,55.4,14.2,9.5,65.7,30.7,53.2
"연령",만50-59세,14.5,14.3,63.9,9.9,51.6,13.5,13.1,65.4,13.8,50.5,11.7,10.3,73.6,12.4,58.6,9.6,8.4,69.8,22.3,52.7,9.0,5.8,65.8,30.8,53.0
"연령",만60-69세,11.4,9.4,57.2,6.9,40.0,11.1,7.6,63.8,9.1,42.6,11.2,5.7,77.5,10.5,56.3,9.8,5.2,75.3,16.7,52.9,7.2,2.9,69.3,29.1,50.9
"연령",만70세이상,6.5,4.0,36.0,2.9,20.3,7.9,4.7,36.0,6.1,16.4,6.7,4.8,75.3,15.5,41.3,5.3,4.3,80.0,11.0,38.7,6.7,1.8,74.9,20.6,34.7
"월평균소득",소득없음,30.4,23.7,65.0,14.4,40.0,28.3,22.1,64.5,21.3,39.7,29.0,17.6,69.5,21.8,46.2,31.5,13.3,67.8,29.1,40.9,33.1,10.4,61.8,37.0,36.5
"월평균소득",50만원미만,14.1,17.2,43.2,15.3,33.3,13.8,14.6,47.3,22.0,28.3,10.1,26.6,72.2,22.2,40.2,13.2,8.3,78.1,28.8,34.2,13.6,8.6,82.9,22.6,38.3
"월평균소득",50-100만원미만,25.2,17.2,60.9,9.0,36.0,12.5,16.2,61.4,16.2,40.3,23.7,9.9,73.9,10.7,52.7,15.5,9.9,75.2,22.3,49.5,16.3,4.8,72.8,36.2,48.3
"월평균소득",100-200만원미만,19.5,18.0,64.0,12.9,48.2,18.5,18.1,66.1,14.1,47.8,16.3,15.2,75.7,14.7,53.2,13.0,13.4,75.2,20.5,48.6,12.5,9.5,66.8,29.6,45.9
"월평균소득",200-300만원미만,20.6,20.3,62.7,11.7,50.7,17.7,16.1,58.6,14.3,50.8,19.1,17.2,70.1,15.3,56.1,15.0,16.5,70.2,28.2,51.5,14.1,10.2,65.2,37.2,49.6
"월평균소득",300-400만원미만,23.1,18.2,60.6,8.5,51.4,18.1,14.4,55.7,14.4,45.8,19.8,14.5,70.3,12.0,54.4,18.8,13.9,67.5,21.9,56.3,16.3,14.7,64.1,31.1,54.0
"월평균소득",400-500만원미만,15.7,13.0,50.9,8.8,58.7,12.8,11.8,46.7,11.1,46.0,17.6,8.8,61.2,12.7,58.8,14.0,13.0,54.5,27.3,50.4,17.3,5.9,56.2,31.1,55.8
"월평균소득",500만원이상,16.5,17.4,44.2,17.0,43.2,19.4,14.5,50.7,17.6,44.3,14.3,11.3,54.0,14.3,46.9,12.1,10.6,58.4,23.8,59.4,13.9,7.5,45.5,24.0,46.6
"학력1",미취학,68.3,31.7,31.7,32.7,0.0,22.7,0.0,14.0,40.5,77.3,85.0,0.0,0.0,83.6,0.0,89.0,0.0,0.0,40.4,0.0,92.8,0.0,0.0,23.5,0.0
"학력1",초졸이하,42.1,10.8,47.3,21.8,22.5,41.3,6.8,46.9,30.5,21.0,49.4,7.9,66.6,33.5,30.5,48.6,2.7,60.8,30.6,27.2,48.0,2.3,54.1,36.0,23.8
"학력1",중졸이하,32.1,14.9,60.1,11.5,33.8,25.8,17.0,60.5,19.5,31.7,25.0,13.2,72.3,19.3,41.4,27.6,8.2,72.5,25.8,39.4,25.1,6.2,68.5,32.2,33.2
"학력1",고졸이하,21.1,17.0,66.2,11.4,49.2,20.1,15.7,66.6,13.0,47.5,17.6,12.4,74.6,14.9,55.2,14.6,11.7,73.8,20.3,51.6,15.1,7.4,68.5,32.2,51.2
"학력1",대졸이하,22.1,25.2,61.9,12.1,48.1,18.0,22.8,61.4,17.1,48.1,20.2,20.6,68.0,15.4,53.3,18.1,18.6,67.7,29.3,50.1,18.1,14.8,62.4,35.5,47.6
"학력1",대학원재학이상,15.1,21.6,56.8,9.0,51.7,15.2,22.2,54.4,16.6,55.1,7.7,18.6,69.4,15.7,51.6,12.5,12.8,61.0,27.4,61.7,8.4,7.8,54.8,29.2,53.3
"지역",서울,20.4,20.4,53.5,10.6,49.5,15.9,13.9,54.8,10.9,45.2,23.6,14.9,64.2,13.8,49.5,21.9,13.3,62.1,29.9,38.9,22.0,9.2,57.2,33.4,40.3
"지역",부산,26.3,10.5,69.6,12.1,42.8,16.7,9.5,77.9,25.1,48.4,14.5,8.1,82.3,17.8,51.8,18.9,11.2,74.4,20.1,49.4,9.4,4.5,76.3,35.1,46.4
"지역",대구,21.5,36.4,50.0,11.8,39.2,20.7,29.3,53.2,18.8,37.0,26.4,20.3,45.6,24.6,40.3,25.7,13.8,53.7,31.3,30.2,20.1,13.7,48.8,36.5,29.1
"지역",인천,28.3,14.8,42.6,19.0,45.2,26.0,14.8,46.7,26.3,45.0,22.3,15.6,61.4,23.3,60.6,26.7,9.2,58.4,23.4,44.2,26.2,8.2,53.9,36.6,49.2
"지역",광주,17.7,34.7,69.3,8.9,34.9,16.0,13.9,72.8,14.5,42.5,10.2,16.1,86.1,6.8,55.7,9.9,23.3,87.1,6.4,72.2,7.6,17.2,85.0,14.0,61.0
"지역",대전,25.8,16.7,88.2,9.9,50.2,26.3,33.7,72.5,15.2,49.4,27.8,27.7,94.1,16.6,46.9,25.4,27.0,82.8,24.2,55.2,23.7,13.4,83.6,30.5,63.6
"지역",울산,23.3,11.7,83.0,23.6,46.8,35.0,26.7,75.1,27.4,48.4,12.3,26.5,90.4,18.3,68.0,12.5,20.4,92.3,11.3,79.3,12.3,18.5,85.5,53.1,76.6
"지역",경기,22.2,22.0,54.4,17.5,46.5,19.8,20.0,58.6,21.1,45.6,22.9,19.0,64.8,19.1,49.1,21.1,14.4,62.3,31.7,43.4,24.6,11.2,55.0,33.8,37.5
"지역",강원,19.1,18.2,64.1,12.5,30.9,18.5,18.8,51.0,18.8,18.0,24.5,10.5,71.7,23.1,28.7,35.5,21.0,67.1,21.1,32.4,37.2,11.4,64.5,36.4,31.1
"지역",충북,28.5,13.0,81.0,4.9,53.4,30.2,21.1,71.6,10.3,64.6,29.4,9.4,82.0,17.7,65.3,13.1,8.7,88.0,19.8,76.7,17.9,6.8,76.8,39.7,71.2
"지역",충남,27.9,28.8,84.6,11.9,37.8,23.3,50.3,81.6,7.5,42.8,30.2,13.8,86.4,14.0,49.3,35.9,18.1,87.3,33.3,54.1,19.0,6.9,82.5,45.7,60.0
"지역",전북,24.3,35.1,74.0,8.2,34.9,20.2,7.1,78.4,16.8,43.6,18.5,6.8,73.6,2.8,66.5,8.1,6.9,83.8,15.7,65.8,17.8,7.0,76.3,26.9,59.6
"지역",전남,23.3,15.8,64.3,3.9,27.4,25.7,4.8,58.2,2.3,45.1,16.0,7.3,85.1,6.5,36.2,12.5,8.6,78.9,5.9,60.5,18.5,6.7,72.9,8.4,58.7
"지역",경북,28.2,24.1,60.9,10.5,31.4,22.4,24.0,59.0,14.1,27.6,17.7,31.5,50.8,26.6,37.2,15.7,18.1,70.1,31.7,27.7,15.1,16.5,67.1,36.3,28.1
"지역",경남,34.2,4.3,89.7,5.9,72.0,34.1,9.2,66.7,18.1,53.8,17.2,13.3,89.6,15.7,67.8,10.1,5.2,85.8,26.6,74.8,8.7,5.7,77.3,40.1,71.1
"지역",제주,28.1,18.9,43.0,2.9,40.6,25.8,22.6,52.2,17.9,32.2,33.8,17.8,52.4,33.4,51.6,40.4,15.0,54.0,22.2,36.0,39.7,8.3,40.4,32.0,18.4
"지역",세종,40.5,4.1,90.9,2.4,49.2,23.3,23.7,80.1,4.9,49.8,5.6,23.3,70.9,3.8,66.4,17.1,37.9,96.6,19.4,45.5,16.4,41.0,89.5,47.9,14.6
"지역구분2",시부,23.7,20.7,61.8,12.8,46.2,21.2,18.1,61.7,17.3,44.4,21.8,16.2,70.0,16.9,52.3,20.5,13.8,69.0,26.5,47.7,20.5,10.6,63.2,34.8,45.1
"지역구분2",군부,28.6,13.8,64.8,9.3,34.5,23.4,24.0,60.9,12.7,43.0,20.0,17.3,78.3,18.4,33.8,18.8,15.1,77.7,18.1,50.4,19.4,5.7,77.8,20.4,51.0
"종사상지위",임금근로자,21.6,19.0,62.3,11.3,50.8,18.1,16.9,62.3,13.6,49.9,18.7,16.1,70.0,14.4,54.7,15.5,15.4,69.4,25.9,52.3,15.0,11.2,62.9,33.9,50.3
"종사상지위",고용주,17.0,20.1,50.9,10.5,53.9,17.8,13.0,46.2,17.5,37.4,14.9,8.4,65.0,13.6,49.3,22.7,10.7,61.6,21.1,53.0,16.9,12.9,60.3,24.7,49.0
"종사상지위",단독자영업자,14.8,14.2,56.3,12.9,42.6,14.4,15.5,57.1,14.1,39.2,16.1,10.2,73.8,13.9,54.7,12.8,10.9,72.8,18.9,48.9,11.1,7.5,72.8,28.2,46.4
"종사상지위",무급가족종사자,14.5,13.0,65.1,7.1,39.4,14.8,8.8,72.4,11.8,41.1,9.8,8.5,82.2,15.4,42.2,8.9,3.9,75.0,14.2,47.6,11.4,1.6,79.3,20.7,49.7
"종사상지위",무직,29.3,23.1,63.3,14.3,39.0,26.9,21.4,62.0,21.9,38.9,27.6,18.5,70.1,21.2,46.3,29.1,13.0,68.6,28.7,41.4,30.6,9.9,63.1,36.5,38.0
"상세직업",관리자,14.3,16.4,52.5,18.9,46.1,21.9,22.6,58.0,16.6,49.1,19.4,11.8,62.8,16.7,50.9,26.3,15.7,59.6,22.7,50.7,21.8,6.3,50.8,37.3,43.1
"상세직업",전문가및관련종사자,17.5,24.7,58.1,11.6,49.7,12.3,23.2,61.2,14.0,49.2,19.7,14.9,67.5,13.0,54.6,13.6,19.9,69.8,28.3,51.8,12.3,15.8,61.7,30.9,46.2
"상세직업",사무종사자,18.0,23.0,63.0,11.2,48.8,13.4,19.0,64.4,12.4,54.3,17.0,18.8,71.7,14.7,53.9,13.6,18.5,67.9,27.8,55.5,12.9,14.0,63.3,32.4,52.8
"상세직업",서비스종사자,22.4,15.2,59.8,12.4,51.5,16.9,11.3,60.8,17.5,46.8,15.7,15.2,72.1,17.4,52.6,10.9,13.6,71.7,24.4,45.3,12.1,10.6,69.9,31.0,47.2
"상세직업",판매종사자,20.6,18.0,65.9,12.3,50.7,17.5,18.7,64.6,14.7,47.2,17.2,17.5,71.5,14.4,53.8,12.8,13.8,72.5,27.1,53.1,13.8,9.4,64.6,37.4,53.7
"상세직업",농림어업종사자,21.8,4.8,52.6,5.0,37.5,17.5,9.7,56.4,6.7,28.7,17.3,2.2,78.3,5.5,47.0,13.7,2.4,76.7,10.6,46.6,12.4,0.9,86.9,20.5,53.6
"상세직업",기능원및관련기능종사자,26.2,18.3,66.8,9.0,54.3,28.6,9.8,59.0,14.9,43.6,15.5,13.1,68.8,14.0,55.2,19.7,7.4,62.3,23.0,56.7,17.6,5.5,63.1,40.0,50.8
"상세직업",장치기계조작및조립종사자,26.8,13.4,65.9,9.5,54.6,24.1,12.3,56.4,14.0,52.5,23.0,10.0,70.0,12.0,57.8,22.5,8.3,69.8,20.1,53.6,21.6,6.5,62.1,31.5,58.6
"상세직업",단순노무종사자,21.9,11.0,55.0,9.6,44.1,22.2,8.5,59.6,10.3,41.0,18.5,8.4,72.1,15.6,57.7,16.3,10.5,75.2,17.6,45.3,14.1,6.2,64.9,28.8,37.0
"상세직업",직업군인,0.0,8.9,58.3,3.3,96.5,27.3,15.9,65.9,1.5,46.0,45.1,20.2,76.5,2.5,66.2,15.6,47.0,78.8,0.0,82.9,82.4,7.6,88.9,9.1,10.6
"상세직업",학생,45.5,30.5,63.7,21.3,33.7,42.8,27.0,59.5,32.5,32.1,45.3,23.3,63.5,31.0,36.6,50.9,14.6,59.7,38.4,29.2,52.8,13.9,56.4,41.0,27.3
"상세직업",전업주부,12.9,16.4,66.6,7.2,46.7,10.4,16.6,69.1,9.3,46.6,8.3,13.3,78.3,9.6,56.6,7.0,10.9,78.8,18.0,52.6,5.8,6.5,73.2,29.2,49.0
"상세직업",군인(직업군인제외),47.4,0.0,100.0,0.0,0.0,31.7,0.0,17.5,85.9,8.4,25.8,5.6,53.8,77.0,17.5,31.3,0.0,48.9,34.3,41.1,11.5,0.0,68.4,12.1,91.0
"상세직업",기타/무직,23.2,18.5,50.4,12.4,34.3,22.1,17.3,50.3,22.4,39.6,21.8,17.0,69.7,20.1,50.9,18.7,13.4,70.4,26.3,50.2,24.4,6.4,58.8,40.9,42.5
"주택형태",단독주택,25.1,16.6,65.7,10.3,42.4,20.9,16.8,63.6,14.5,43.7,19.8,12.4,77.2,16.2,49.6,17.2,12.2,76.4,20.5,47.4,16.4,9.6,71.9,29.1,44.2
"주택형태",아파트,23.1,21.5,61.4,13.5,46.3,21.3,19.4,61.3,18.1,45.0,22.2,17.2,70.4,17.6,53.4,20.6,14.3,68.2,27.8,48.8,21.7,10.5,61.4,36.3,47.1
"주택형태",연립주택빌라다세대주택,25.8,22.7,57.6,13.0,47.8,22.8,17.5,59.4,17.6,42.9,21.6,18.6,62.7,16.6,47.1,23.7,13.6,64.2,28.3,45.5,22.2,9.2,62.0,34.0,41.7
"주택형태",비거주용건물내의주택,21.8,23.3,44.5,18.4,32.2,13.1,2.5,32.5,18.3,29.5,39.1,14.4,47.7,1.3,43.2,16.2,29.5,78.5,12.4,47.0,9.7,27.8,63.4,29.0,42.4
"주택형태",기타,37.8,4.6,38.8,0.0,60.4,31.2,19.5,73.3,31.1,40.6,28.5,0.0,93.0,25.1,59.2,17.1,4.9,88.1,12.8,45.9,10.9,5.0,81.8,11.1,82.9
"가족구성",1인가구,18.6,18.1,60.1,6.6,55.2,14.5,10.1,56.6,14.1,46.0,18.5,13.7,76.3,11.4,50.5,16.4,17.1,78.1,22.2,49.5,16.5,6.9,74.3,36.9,47.8
"가족구성",1세대가구,15.0,12.8,61.6,7.0,42.6,10.3,10.4,61.6,10.1,39.4,12.0,8.8,76.5,13.3,54.1,8.5,8.0,73.7,16.6,50.4,9.6,7.3,73.6,26.9,49.8
"가족구성",2세대가구,25.3,21.4,61.2,13.6,45.0,22.8,19.6,62.8,17.8,45.3,24.1,17.7,67.9,18.8,51.1,24.1,14.3,65.8,28.9,46.8,23.6,11.0,59.8,35.6,44.5
"가족구성",3세대가구,23.5,20.5,65.5,15.2,43.4,23.9,22.2,55.3,21.7,39.3,25.0,18.9,70.5,17.9,43.5,20.6,15.4,69.4,30.7,45.3,26.6,10.8,59.4,33.3,39.1
"가족구성",기타,28.2,18.3,71.2,9.2,48.7,27.1,23.0,58.4,13.8,47.3,21.6,22.7,75.7,11.9,54.0,20.0,18.7,83.3,25.5,51.3,16.6,23.0,69.3,28.3,40.5
"가구원수1",1인가구,18.6,18.1,60.1,6.6,55.2,14.5,10.1,56.6,14.1,46.0,18.5,13.7,76.3,11.4,50.5,16.4,17.1,78.1,22.2,49.5,16.5,6.9,74.3,36.9,47.8
"가구원수1",2인가구,17.7,15.4,63.6,8.0,44.5,14.5,13.3,61.8,10.3,40.9,16.0,11.1,75.7,13.7,55.6,12.7,9.2,74.5,21.6,50.2,12.0,9.5,70.4,30.9,47.1
"가구원수1",3인이상가구,25.5,21.2,61.8,13.7,44.9,23.1,20.0,62.0,18.5,44.9,24.0,18.3,67.9,18.8,49.9,24.0,15.0,66.0,28.4,46.7,24.4,11.2,59.6,34.7,44.3
"가구주와의관계",가구주,19.4,13.3,57.0,8.8,48.8,16.2,12.2,56.1,12.9,47.4,17.5,11.1,70.1,12.9,54.0,14.5,11.7,70.1,21.4,53.5,15.4,7.6,65.3,32.2,50.8
"가구주와의관계",가구주의배우자,13.2,17.9,66.7,9.6,48.5,11.3,16.6,70.4,10.4,47.9,9.1,13.7,74.5,12.9,56.7,6.8,12.2,76.0,19.0,53.7,5.9,7.7,70.3,26.1,51.5
"가구주와의관계",가구주의자녀,37.0,29.7,63.8,19.1,39.8,33.8,26.6,61.7,26.5,39.2,37.8,24.2,67.1,26.0,43.3,40.5,17.9,61.7,39.4,34.4,40.0,15.3,57.2,44.2,32.8
"가구주와의관계",자녀의배우자,25.7,17.1,75.2,0.6,47.4,6.5,16.0,63.1,1.8,60.0,20.4,22.7,83.0,15.8,54.6,15.7,12.3,62.8,24.4,41.1,21.2,10.8,50.5,24.3,50.9
"가구주와의관계",손자.녀/그배우자,34.5,29.9,56.2,14.3,42.4,32.9,15.7,64.1,17.6,45.3,26.7,28.3,78.2,14.6,45.9,43.1,25.6,71.8,29.1,51.8,38.3,15.7,63.2,33.4,41.0
"가구주와의관계",부모(배우자부모포함),0.6,0.0,50.1,4.1,21.1,14.2,4.0,36.2,12.7,18.4,11.0,11.5,64.9,8.6,18.2,13.6,6.6,86.9,2.9,39.5,9.9,5.8,60.7,5.1,30.3
"가구주와의관계",조부모(배우자조부모포함),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,100.0,0.0,0.0,-,-,-,-,-
"가구주와의관계",형제자매/그배우자,52.1,20.1,72.1,9.9,49.7,20.4,21.2,38.0,8.1,45.2,26.9,39.3,60.4,16.5,60.3,12.0,29.9,82.8,31.2,58.8,12.7,42.0,58.1,32.1,43.3
"가구주와의관계",기타친인척,12.6,7.2,79.8,15.5,64.2,57.8,32.7,79.2,15.6,9.5,7.9,23.8,97.6,24.8,39.2,49.6,18.8,100.0,14.0,44.1,22.3,0.0,95.3,39.3,24.2
"가구주와의관계",동거인,22.1,11.1,77.9,25.8,41.1,7.1,28.1,63.1,36.9,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,79.9,20.1,0.0,20.1
