"구분별(1)",구분별(2),2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱/노트북 (%),기타 (%),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱 컴퓨터 (%),노트북 컴퓨터 (%),TV 수상기 (%),사례수 (명),스마트폰 (%),태블릿PC (%),데스크톱 컴퓨터 (%),노트북 컴퓨터 (%),TV 수상기 (%),기타 (%)
"전체",소계,4457.7,97.1,4.5,13.1,0.1,7434.0,99.0,10.0,18.4,13.7,11.6,8293.7,98.7,12.0,12.4,12.0,13.7,0.0
"성별",남,2375.6,97.0,4.1,14.7,0.1,3872.0,99.0,9.6,22.0,14.0,11.3,4283.5,98.9,10.8,15.0,11.2,13.9,0.0
"성별",여,2082.1,97.3,4.9,11.2,0.2,3562.0,99.0,10.4,14.5,13.2,11.9,4010.2,98.5,13.1,9.5,12.9,13.5,0.0
"연령",만10대미만,80.6,75.9,17.9,14.3,0.0,173.0,90.1,20.2,9.9,8.4,12.7,174.5,81.3,41.6,2.3,9.0,24.1,0.0
"연령",만10-19세,501.5,94.1,4.9,17.2,0.6,825.0,96.7,17.4,23.7,16.6,9.1,880.1,96.9,19.6,23.8,19.1,12.2,0.0
"연령",만20-29세,1022.5,95.0,8.4,19.5,0.1,1378.0,99.6,14.5,25.1,24.8,11.4,1381.4,98.6,22.7,19.5,27.6,15.4,0.0
"연령",만30-39세,978.7,98.9,3.9,15.0,0.0,1420.0,99.8,12.0,26.8,17.0,16.1,1390.1,99.6,16.5,16.5,13.8,15.9,0.0
"연령",만40-49세,867.8,98.6,3.1,9.7,0.1,1481.0,99.4,8.6,16.8,12.1,15.2,1585.9,99.4,9.1,10.5,10.4,18.6,0.1
"연령",만50-59세,683.8,99.6,1.3,7.4,0.2,1373.0,99.5,4.0,10.8,5.4,8.4,1580.6,99.7,2.7,7.6,3.9,12.6,0.0
"연령",만60-69세,273.7,99.6,0.4,1.6,0.0,666.0,99.3,1.5,4.7,3.7,5.0,1025.7,99.5,1.6,1.9,1.4,5.1,0.0
"연령",만70세이상,49.1,100.0,0.0,0.0,0.0,119.0,99.3,0.0,1.1,1.7,4.4,275.5,99.2,0.2,2.2,0.2,2.6,0.0
"월평균소득",소득없음,1537.6,95.5,5.2,13.6,0.2,2477.0,97.9,12.1,16.8,13.1,11.0,2631.2,97.3,15.6,15.0,13.0,13.1,0.0
"월평균소득",50만원미만,105.8,93.0,13.1,21.3,0.6,138.0,99.7,12.4,11.0,26.5,8.0,175.9,99.5,11.4,8.8,12.2,12.9,0.0
"월평균소득",50-100만원미만,136.8,97.8,3.4,21.7,0.0,222.0,99.1,6.3,17.5,21.1,6.6,317.8,99.3,8.7,12.8,11.7,10.4,0.0
"월평균소득",100-200만원미만,800.5,97.8,3.5,10.2,0.1,1120.0,99.7,5.5,14.2,7.1,9.4,1094.2,99.5,8.0,8.9,7.7,11.5,0.0
"월평균소득",200-300만원미만,1081.3,98.4,3.4,13.4,0.1,1961.0,99.4,8.0,19.5,14.0,10.3,2118.0,99.2,10.1,9.3,12.7,13.2,0.0
"월평균소득",300-400만원미만,504.8,98.9,4.9,15.0,0.0,1026.0,99.6,11.6,22.7,16.5,17.6,1326.0,99.7,12.8,13.3,11.3,15.4,0.0
"월평균소득",400-500만원미만,173.2,97.1,4.7,6.6,0.5,266.0,99.4,16.6,31.6,13.2,15.4,358.2,99.8,9.6,17.4,16.1,19.7,0.0
"월평균소득",500만원이상,117.7,98.3,3.3,5.8,0.0,224.0,99.3,13.0,17.3,21.0,16.6,272.5,97.9,9.8,15.1,14.0,20.5,0.4
"학력1",미취학,9.2,42.2,16.8,59.8,0.0,13.0,84.2,28.9,0.0,0.0,5.2,17.5,100.0,18.8,0.0,0.0,0.0,0.0
"학력1",초졸이하,257.6,87.0,8.0,12.8,0.8,540.0,93.4,14.5,16.9,11.3,11.0,665.3,91.7,19.2,13.7,11.9,13.7,0.0
"학력1",중졸이하,266.7,97.5,3.4,7.0,0.3,505.0,98.7,10.3,11.8,6.5,5.4,591.8,99.3,10.2,10.8,8.0,6.2,0.0
"학력1",고졸이하,1338.4,98.9,1.4,9.2,0.0,2352.0,99.7,5.4,12.2,6.2,8.3,2739.2,99.4,6.2,8.1,5.6,10.9,0.0
"학력1",대졸이하,2492.5,97.5,6.0,15.1,0.1,3892.0,99.4,11.9,23.3,19.4,14.4,4138.0,99.2,14.8,15.0,16.3,16.8,0.0
"학력1",대학원재학이상,93.3,94.7,0.0,28.4,0.0,132.0,99.0,15.2,19.0,16.6,14.6,141.8,100.0,11.5,18.3,32.6,10.8,0.8
"지역",서울,699.2,96.7,6.3,15.0,0.0,1482.0,99.2,15.2,21.6,15.8,18.0,1626.1,99.0,17.7,13.0,11.4,16.6,0.0
"지역",부산,393.5,99.8,0.6,4.6,0.0,524.0,99.6,4.0,11.1,3.4,3.9,555.7,100.0,0.6,8.0,4.5,4.6,0.0
"지역",대구,174.1,95.0,8.1,10.1,0.1,335.0,97.2,20.4,21.8,28.1,13.9,358.0,95.7,23.2,15.8,22.2,13.5,0.0
"지역",인천,245.4,96.9,4.3,6.8,0.3,452.0,98.2,15.7,23.1,14.1,12.3,499.5,98.9,17.2,17.6,14.5,13.1,0.0
"지역",광주,109.9,98.6,2.9,8.6,0.0,248.0,99.4,3.6,18.8,6.9,12.2,263.0,99.3,3.7,3.2,5.9,13.7,0.0
"지역",대전,230.3,95.9,3.3,29.7,0.0,213.0,99.5,11.1,38.6,21.6,6.5,219.8,98.4,15.0,24.3,15.8,15.5,0.0
"지역",울산,150.5,99.2,0.0,10.6,0.0,176.0,100.0,0.8,7.2,2.1,6.3,187.4,100.0,2.2,4.7,1.4,14.0,0.0
"지역",경기,1040.9,96.1,6.8,11.3,0.3,1907.0,98.5,11.0,17.5,17.1,11.8,2226.8,98.3,12.4,13.1,14.3,14.4,0.1
"지역",강원,105.1,99.6,0.7,11.4,0.8,181.0,98.5,13.8,15.4,21.5,18.4,207.4,98.3,21.8,12.9,20.5,18.1,0.0
"지역",충북,249.7,98.6,1.5,16.4,0.0,264.0,98.8,3.3,15.8,16.9,1.5,279.8,98.3,10.4,16.7,11.1,10.9,0.0
"지역",충남,311.6,94.6,2.2,28.8,0.0,265.0,99.0,5.7,18.7,5.8,11.6,305.8,99.0,2.0,15.7,10.6,12.3,0.0
"지역",전북,139.4,98.9,0.9,14.7,0.0,262.0,100.0,0.7,37.5,1.9,12.7,292.8,100.0,2.7,8.9,2.7,29.2,0.0
"지역",전남,45.0,93.1,8.8,10.1,0.0,245.0,100.0,3.0,3.9,2.1,8.1,279.7,96.3,5.0,3.7,2.7,9.0,0.0
"지역",경북,135.2,97.3,11.5,17.4,0.8,291.0,99.0,11.5,22.6,18.8,7.4,318.2,99.0,15.8,16.7,20.1,9.9,0.0
"지역",경남,323.3,99.7,0.7,5.5,0.0,427.0,99.8,1.3,1.5,2.3,3.2,501.1,100.0,0.8,2.3,2.3,3.1,0.0
"지역",제주,58.9,97.9,3.6,6.3,0.0,83.0,99.3,11.9,29.5,34.1,42.3,84.5,99.1,15.8,25.4,34.2,43.1,0.0
"지역",세종,45.6,90.8,24.0,0.6,0.0,79.0,100.0,6.1,18.0,12.8,0.0,88.1,100.0,42.8,20.0,43.9,12.4,0.0
"지역구분2",시부,4257.9,97.4,4.4,13.3,0.2,7113.0,99.0,10.2,19.0,14.1,11.9,7880.6,98.6,12.5,12.8,12.5,13.9,0.0
"지역구분2",군부,199.8,92.1,5.4,7.0,0.0,321.0,99.6,4.5,6.0,4.4,4.6,413.1,99.9,2.1,3.3,2.6,9.9,0.0
"종사상지위",임금근로자,2314.3,98.2,4.3,12.4,0.0,3968.0,99.5,9.2,20.6,14.2,13.2,4440.1,99.4,11.2,11.4,12.8,14.8,0.0
"종사상지위",고용주,74.4,94.3,4.0,11.4,1.0,110.0,100.0,6.0,13.2,14.5,11.1,141.0,99.0,7.0,10.3,6.0,20.5,0.0
"종사상지위",단독자영업자,322.5,99.6,0.1,9.3,0.2,535.0,99.3,7.4,11.3,6.4,6.4,622.9,99.7,3.8,7.0,5.2,11.4,0.0
"종사상지위",무급가족종사자,39.9,100.0,0.0,12.9,0.0,66.0,100.0,12.0,23.9,7.3,8.1,97.3,99.3,17.9,16.5,0.9,6.0,0.0
"종사상지위",무직,1706.6,95.3,5.7,14.7,0.3,2755.0,98.1,11.8,16.7,14.4,10.4,2992.5,97.5,14.8,14.9,13.1,12.5,0.0
"상세직업",관리자,100.1,99.2,3.7,13.3,0.0,189.0,99.6,17.5,32.6,18.8,16.4,207.6,100.0,15.8,21.4,17.1,19.5,0.5
"상세직업",전문가및관련종사자,479.3,96.7,6.9,17.8,0.3,773.0,99.7,12.8,22.9,25.2,19.9,835.7,98.6,16.6,14.9,25.2,21.3,0.0
"상세직업",사무종사자,778.8,98.4,5.2,12.9,0.0,1257.0,99.4,9.7,26.7,16.7,13.8,1443.1,99.5,13.0,14.0,10.7,11.9,0.0
"상세직업",서비스종사자,321.3,97.9,4.3,4.4,0.0,592.0,99.3,8.9,12.4,8.8,9.2,689.9,99.5,9.2,5.2,12.2,11.3,0.0
"상세직업",판매종사자,447.5,98.6,1.6,13.9,0.0,753.0,99.7,8.3,17.6,9.6,8.3,805.7,99.4,7.4,6.8,9.2,15.3,0.0
"상세직업",농림어업종사자,34.6,100.0,0.0,0.0,0.0,67.0,98.6,0.0,6.0,1.2,4.2,132.7,100.0,1.3,4.4,2.2,1.5,0.0
"상세직업",기능원및관련기능종사자,174.9,98.4,1.5,13.5,0.0,291.0,99.8,6.0,11.2,8.1,12.5,314.9,99.9,6.4,12.0,5.9,18.1,0.0
"상세직업",장치기계조작및조립종사자,228.0,98.8,0.5,9.2,0.2,381.0,99.2,4.6,16.5,3.9,8.6,453.5,99.3,4.4,8.9,4.6,14.9,0.0
"상세직업",단순노무종사자,176.3,100.0,0.2,1.6,0.0,365.0,99.6,3.7,8.3,4.3,7.3,407.3,99.6,5.8,8.1,1.7,11.1,0.0
"상세직업",직업군인,10.3,100.0,0.0,83.5,0.0,12.0,100.0,0.0,0.0,0.0,0.0,10.8,100.0,4.1,0.0,4.1,0.0,0.0
"상세직업",학생,939.6,93.7,8.0,18.7,0.4,1428.0,97.0,16.6,21.7,19.9,9.8,1489.2,95.8,22.9,21.1,20.0,13.3,0.0
"상세직업",전업주부,531.7,98.6,2.4,6.9,0.1,982.0,99.7,5.2,7.8,6.4,11.6,1073.1,99.2,5.2,6.2,3.5,12.8,0.0
"상세직업",군인(직업군인제외),4.0,81.4,0.0,28.8,0.0,5.0,100.0,37.0,52.5,22.0,6.6,7.6,100.0,40.4,40.4,0.0,0.0,0.0
"상세직업",기타/무직,231.2,94.4,4.6,16.0,0.0,340.0,98.2,10.2,20.6,13.8,10.0,422.6,99.1,10.3,14.7,13.0,9.4,0.0
"주택형태",단독주택,1013.1,98.3,3.1,9.5,0.1,1495.0,99.7,8.4,12.9,9.3,9.2,1785.6,98.3,9.1,7.5,9.8,11.8,0.0
"주택형태",아파트,2563.5,97.1,4.9,13.2,0.2,4292.0,98.9,9.7,18.8,14.3,11.4,4734.5,98.7,12.1,13.3,12.3,13.7,0.0
"주택형태",연립주택빌라다세대주택,819.5,95.9,4.6,14.4,0.1,1528.0,98.5,11.6,22.6,15.6,13.9,1621.7,98.9,14.9,15.0,14.1,14.4,0.0
"주택형태",비거주용건물내의주택,60.2,97.6,9.0,49.9,0.0,97.0,100.0,11.3,9.3,19.5,22.9,138.7,100.0,10.7,8.7,9.3,33.4,0.0
"주택형태",기타,1.4,100.0,0.0,0.0,0.0,23.0,100.0,52.9,67.0,17.2,3.2,13.2,100.0,7.3,38.3,0.0,11.2,0.0
"가족구성",1인가구,441.3,97.7,6.8,18.4,0.0,822.0,100.0,7.7,20.9,17.2,11.9,951.3,100.0,12.8,7.3,14.1,13.2,0.0
"가족구성",1세대가구,546.1,99.8,1.6,7.8,0.0,958.0,99.6,5.3,14.0,6.1,14.0,1263.9,99.4,7.9,6.7,6.2,11.9,0.0
"가족구성",2세대가구,3036.0,96.3,4.6,12.9,0.2,5015.0,98.7,11.4,19.3,14.2,11.6,5457.4,98.4,12.5,14.9,12.8,14.6,0.0
"가족구성",3세대가구,215.3,98.9,4.1,9.2,0.0,282.0,97.8,13.1,16.9,16.3,8.7,373.7,96.0,11.3,11.7,13.6,10.8,0.0
"가족구성",기타,219.0,99.8,5.4,21.7,0.0,357.0,100.0,5.0,13.1,16.7,5.9,247.4,99.7,17.4,5.0,15.3,10.4,0.0
"가구원수1",1인가구,441.3,97.7,6.8,18.4,0.0,822.0,100.0,7.7,20.9,17.2,11.9,951.3,100.0,12.8,7.3,14.1,13.2,0.0
"가구원수1",2인가구,919.5,99.9,3.1,12.0,0.0,1586.0,99.6,5.4,13.2,9.8,11.2,1947.3,99.5,8.5,8.0,8.3,12.4,0.0
"가구원수1",3인이상가구,3096.9,96.2,4.6,12.6,0.2,5027.0,98.6,11.8,19.6,14.3,11.7,5395.1,98.2,13.0,14.8,13.0,14.3,0.0
"가구주와의관계",가구주,1698.4,98.6,3.5,12.1,0.1,3091.0,99.5,7.3,18.8,11.8,12.1,3544.6,99.7,8.7,10.6,9.2,13.4,0.0
"가구주와의관계",가구주의배우자,978.1,98.9,2.1,7.6,0.0,1709.0,99.5,7.8,11.0,9.2,12.7,1981.7,99.0,7.8,8.2,6.9,13.6,0.0
"가구주와의관계",가구주의자녀,1644.5,94.4,6.7,17.2,0.3,2427.0,97.8,15.5,23.9,18.8,10.8,2543.6,97.0,19.5,18.5,20.3,14.3,0.0
"가구주와의관계",자녀의배우자,19.8,96.0,1.9,8.7,0.0,34.0,100.0,13.1,24.6,8.6,16.2,27.8,98.5,14.2,8.9,3.3,12.4,0.0
"가구주와의관계",손자.녀/그배우자,43.0,97.9,0.0,8.7,0.0,67.0,100.0,4.1,14.4,10.7,3.7,74.7,100.0,14.1,12.9,5.6,10.0,0.0
"가구주와의관계",부모(배우자부모포함),11.1,100.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,5.2,22.2,100.0,1.2,0.0,0.0,31.4,0.0
"가구주와의관계",형제자매/그배우자,43.6,100.0,12.5,32.6,0.0,73.0,100.0,0.0,4.9,34.8,0.0,75.8,100.0,19.7,2.8,15.9,11.9,0.0
"가구주와의관계",기타친인척,15.2,100.0,27.0,0.0,0.0,10.0,100.0,5.4,0.0,0.0,0.0,14.0,100.0,24.9,25.2,21.0,4.9,0.0
"가구주와의관계",동거인,4.0,100.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,100.0,9.3,100.0,0.0,0.0,0.0,20.1,0.0
